Colaborador,Suggestion ID,Productora,Correction ID,Product ID,Ver PDP,Dominio,Sección,Acción,Atributo,Valor actual,Valor sugerido,URL imagen sugerida,Decision esperada,Decision respondida,Coincide decision,Código esperado,Código respondido,Coincide código,Comentario colaborador,Fecha de accionado,SCRIPT,COLAB,Comentario,TL auditor
SANCJOAQ,Netkel-AOU,Netkel,217377476,MLA32634567,https://www.mercadolibre.com.ar/p/MLA32634567,PATIO_FURNITURE_KITS,image,ADD,,,,https://http2.mlstatic.com/D_NQ_NP_774382-MLU77291840926_072024-F.jpg,RECHAZO,APROBACION,NO,E-DUPA,,NO,,15/05/2026 10:12:22,NOT OK,OK,"Es correcto rechazar el atributo y aprobar las imagenes, no se debe rechazar por descarte ya que el seller no quiere mutar el producto, sino que quiere poner un valor incorrecto en color. Esto se valida ya que las imagenes son iguales, y el color gris oscuro pertenece al almohadon",ext_vitofalo
SANCJOAQ,Netkel-AOU,Netkel,217377477,MLA32634567,https://www.mercadolibre.com.ar/p/MLA32634567,PATIO_FURNITURE_KITS,image,ADD,,,,https://http2.mlstatic.com/D_NQ_NP_676641-MLU77291870556_072024-F.jpg,RECHAZO,APROBACION,NO,E-DUPA,,NO,,15/05/2026 10:12:22,NOT OK,OK,"Es correcto rechazar el atributo y aprobar las imagenes, no se debe rechazar por descarte ya que el seller no quiere mutar el producto, sino que quiere poner un valor incorrecto en color. Esto se valida ya que las imagenes son iguales, y el color gris oscuro pertenece al almohadon",ext_vitofalo
SANCJOAQ,Netkel-AOU,Netkel,217377478,MLA32634567,https://www.mercadolibre.com.ar/p/MLA32634567,PATIO_FURNITURE_KITS,image,ADD,,,,https://http2.mlstatic.com/D_NQ_NP_732895-MLU77291840928_072024-F.jpg,RECHAZO,APROBACION,NO,E-DUPA,,NO,,15/05/2026 10:12:22,NOT OK,OK,"Es correcto rechazar el atributo y aprobar las imagenes, no se debe rechazar por descarte ya que el seller no quiere mutar el producto, sino que quiere poner un valor incorrecto en color. Esto se valida ya que las imagenes son iguales, y el color gris oscuro pertenece al almohadon",ext_vitofalo
SANCJOAQ,Netkel-AOU,Netkel,217377479,MLA32634567,https://www.mercadolibre.com.ar/p/MLA32634567,PATIO_FURNITURE_KITS,title,UPDATE,,Set Juego De Jardín Keter Emma Mesa + 3 Sillones 24614 - Rex,Set Juego De Jardín Keter Emma Mesa + 3 Sillones Gris oscuro 24614 - Rex,,RECHAZO,RECHAZO,SÍ,E-DUPA,E-REL,NO,,15/05/2026 10:12:22,NOT OK,OK,"Es correcto rechazar el atributo y aprobar las imagenes, no se debe rechazar por descarte ya que el seller no quiere mutar el producto, sino que quiere poner un valor incorrecto en color. Esto se valida ya que las imagenes son iguales, y el color gris oscuro pertenece al almohadon",ext_vitofalo
YAPORTAS,Netkel-AAB,Netkel,507059676,MLA18956422,https://www.mercadolibre.com.ar/p/MLA18956422,EFFECTS_PEDALS,attribute,UPDATE,COLOR,Negro,Turquesa Metálico,,RECHAZO,RECHAZO,SÍ,E-NCP,E-NCP,SÍ,"Se está queriendo mutar el producto a otro color, el cual no existe en grilla por esta razón se rechaza la misma.",15/05/2026 10:12:26,,,,
YAPORTAS,Netkel-AAB,Netkel,507059677,MLA18956422,https://www.mercadolibre.com.ar/p/MLA18956422,EFFECTS_PEDALS,title,UPDATE,,Pedal de efecto Valeton GP-200 Multi-Effects Processor Negro,Pedal de efecto Valeton GP-200 Multi-Effects Processor Turquesa Metálico,,RECHAZO,RECHAZO,SÍ,E-NCP,E-NCP,SÍ,"Se está queriendo mutar el producto a otro color, el cual no existe en grilla por esta razón se rechaza la misma.",15/05/2026 10:12:26,,,,
YAPORTAS,Netkel-AAB,Netkel,507059678,MLA18956422,https://www.mercadolibre.com.ar/p/MLA18956422,EFFECTS_PEDALS,description,UPDATE,,"Este pedal de efectos permite alterar el sonido de tu instrumento y, de esta manera, explorar nuevas posibilidades sonoras.

Estos pedales utilizan una electrónica digital para producir los efectos. Su fortaleza principal es que cuentan con mayor versatilidad Tecnología de modelado HD heredada de la nueva plataforma digital, que proporciona tonos más orgánicos

Conversión de audio de 24 bits y 44,1 kHz

Más de 240 efectos de alta calidad

 Más de 140 legendarios amplificadores y cajas de guitarra/bajo/acústica

 Más de 100 efectos dinámicos/distorsión/frecuencia/modulación/retardo/reverberación

Admite el almacenamiento de 20 IR de usuario

256 ranuras de patch (100 de fábrica, 156 de usuario)

Hasta 11 módulos de libre movimiento en la cadena de efectos capaces de trabajar simultáneamente

Looper de 180 segundos

 100 patrones de batería de alta calidad

 Afinador cromático sensible integrado

LCD TFT de 4,3 pulgadas cuenta con una interfaz de usuario multilingüe intuitiva y fácil de usar

8 pedales LED personalizables con 3 modelos de pedal, aplicables a diversas situaciones

Pedal de expresión integrado que controla hasta 3 parámetros de efectos

 Varios accesos directos a mandos y botones que llevan la eficiencia a casa

 Varias E/S que atienden a diferentes necesidades

Interfaz de audio USB Type-C compatible con sistemas Win/Mac/iOS/Android

Audio USB de 6 entradas/4 salidas, con soporte de loopback y más comodidad para la reamplificación
 Editor intuitivo para Win/Mac

Robusto chasis de metal fundido a presiónque los analógicos.","El Valeton GP-200 Multi-Effects Processor en color Turquesa Metálico ofrece una solución integral para guitarristas que buscan múltiples efectos y modelado en un solo pedal. Su diseño robusto y su interfaz práctica lo hacen ideal para ensayos, estudio y presentaciones en vivo. Una variante estética llamativa para quienes quieren destacar en el escenario sin cambiar el rendimiento del equipo.",,RECHAZO,RECHAZO,SÍ,E-NCP,E-NCP,SÍ,"Se está queriendo mutar el producto a otro color, el cual no existe en grilla por esta razón se rechaza la misma.",15/05/2026 10:12:27,,,,
DADI,Netkel-BFJ,Netkel,192345517,MLA68145335,https://www.mercadolibre.com.ar/p/MLA68145335,BOOKS,attribute,UPDATE,BOOK_COVER,Blanda,Acrílica,,RECHAZO,RECHAZO,SÍ,E-NCP,E-REL,NO,,15/05/2026 10:13:00,OK,NOT OK,,ext_lopmatia
DADI,Netkel-BFJ,Netkel,192345518,MLA68145335,https://www.mercadolibre.com.ar/p/MLA68145335,BOOKS,attribute,UPDATE,BOOK_VOLUME,1,3,,RECHAZO,RECHAZO,SÍ,E-NCP,E-REL,NO,,15/05/2026 10:13:00,OK,NOT OK,,ext_lopmatia
DADI,Netkel-BFJ,Netkel,192345519,MLA68145335,https://www.mercadolibre.com.ar/p/MLA68145335,BOOKS,title,UPDATE,,Mirages Del Armée De L'air En La Fuerza Aérea De Chile Avia,Mirages del Armée de l'Air en la Fuerza Aérea de Chile Avia - Tapa Acrílica - Volumen 3,,RECHAZO,RECHAZO,SÍ,E-NCP,E-REL,NO,,15/05/2026 10:13:01,OK,NOT OK,,ext_lopmatia
DADI,Netkel-BFJ,Netkel,192345520,MLA68145335,https://www.mercadolibre.com.ar/p/MLA68145335,BOOKS,description,ADD,,,"Edición especial de ""Mirages del Armée de l'Air en la Fuerza Aérea de Chile"" de Julio Arróspide Rivera, publicada por Aviation Art & History. Este Volumen 3 incorpora una presentación con tapa acrílica pensada para coleccionistas y exhibición. Texto en español, ideal para aficionados a la historia y el arte de la aviación chilena.",,RECHAZO,RECHAZO,SÍ,E-NCP,E-REL,NO,,15/05/2026 10:13:02,OK,NOT OK,,ext_lopmatia
TOVULCAN,Netkel-BAS,Netkel,100091879,MLA24253727,https://www.mercadolibre.com.ar/p/MLA24253727,ANILINE_DYES,attribute,UPDATE,BRAND,Colibrí,Tintoria Andina,,RECHAZO,RECHAZO,SÍ,E-NCP,E-NCP,SÍ,,15/05/2026 10:13:04,,,,
TOVULCAN,Netkel-BAS,Netkel,100091880,MLA24253727,https://www.mercadolibre.com.ar/p/MLA24253727,ANILINE_DYES,attribute,UPDATE,MODEL,En frio,Criotec Ultra,,RECHAZO,RECHAZO,SÍ,E-NCP,E-NCP,SÍ,,15/05/2026 10:13:05,,,,
TOVULCAN,Netkel-BAS,Netkel,100091881,MLA24253727,https://www.mercadolibre.com.ar/p/MLA24253727,ANILINE_DYES,attribute,UPDATE,DYE_FORMAT,Polvo,Microgránulos,,RECHAZO,RECHAZO,SÍ,E-NCP,E-NCP,SÍ,,15/05/2026 10:13:05,,,,
TOVULCAN,Netkel-BAS,Netkel,100091882,MLA24253727,https://www.mercadolibre.com.ar/p/MLA24253727,ANILINE_DYES,title,UPDATE,,Colibri Anilina Para Teñido En Frio X 20 G Los Colores Color Naranja,Tintoria Andina Anilina Criotec Ultra Para Teñido En Frio Microgránulos X 20 G Color Naranja,,RECHAZO,RECHAZO,SÍ,E-NCP,E-NCP,SÍ,,15/05/2026 10:13:05,,,,
SANCJOAQ,Netkel-APE,Netkel,216917219,MLA68203015,https://www.mercadolibre.com.ar/p/MLA68203015,SNEAKERS,image,ADD,,,,https://drive.google.com/file/d/1whbfNZOK62af8ga5lJUmRNRKHnVZmHyu/view?usp=drivesdk,RECHAZO,RECHAZO,SÍ,E-DC,E-DC,SÍ,,15/05/2026 10:13:08,,,,
SANCJOAQ,Netkel-APE,Netkel,216917220,MLA68203015,https://www.mercadolibre.com.ar/p/MLA68203015,SNEAKERS,image,ADD,,,,https://http2.mlstatic.com/D_NQ_NP_890902-MLA109666800966_042026-F.jpg,RECHAZO,RECHAZO,SÍ,E-IPDP,E-ICN,NO,,15/05/2026 10:13:08,OK,NOT OK,,ext_vitofalo
SANCJOAQ,Netkel-APE,Netkel,216917221,MLA68203015,https://www.mercadolibre.com.ar/p/MLA68203015,SNEAKERS,attribute,UPDATE,SIZE,40 AR,Verde Militar,,RECHAZO,RECHAZO,SÍ,E-COH,E-COH,SÍ,,15/05/2026 10:13:08,,,,
MASEINHA,Netkel-AMZ,Netkel,235733540,MLA45234287,https://www.mercadolibre.com.ar/p/MLA45234287,SPORT_AND_BAZAAR_BOTTLES,attribute,UPDATE,BRAND,Stanley,NordPeak,,RECHAZO,RECHAZO,SÍ,E-NCP,E-NCP,SÍ,,15/05/2026 10:13:24,,,,
MASEINHA,Netkel-AMZ,Netkel,235733541,MLA45234287,https://www.mercadolibre.com.ar/p/MLA45234287,SPORT_AND_BAZAAR_BOTTLES,attribute,UPDATE,MODEL,Aerolight Flip Straw,GlacierPulse FlipSip,,RECHAZO,RECHAZO,SÍ,E-NCP,E-NCP,SÍ,,15/05/2026 10:13:24,,,,
MASEINHA,Netkel-AMZ,Netkel,235733542,MLA45234287,https://www.mercadolibre.com.ar/p/MLA45234287,SPORT_AND_BAZAAR_BOTTLES,title,UPDATE,,Botella Termica Stanley 710ml Iceflow Aerolight Flip Straw Color Negro,Botella Térmica NordPeak 710ml GlacierPulse FlipSip Color Negro,,RECHAZO,RECHAZO,SÍ,E-NCP,E-NCP,SÍ,,15/05/2026 10:13:25,,,,
MASEINHA,Netkel-AMZ,Netkel,235733543,MLA45234287,https://www.mercadolibre.com.ar/p/MLA45234287,SPORT_AND_BAZAAR_BOTTLES,description,UPDATE,,"Botella Stanley IceFlow Flip Straw 2.0 710Ml  
---------------------------------------------------------------  

Diseñada para personas activas, esta botella combina ligereza, funcionalidad y durabilidad en un diseño moderno.  

- Tecnología AeroLight: Un 33% más ligera que las botellas estándar, manteniendo máxima eficiencia térmica.  
- Aislamiento térmico avanzado: Mantiene tus bebidas frías por hasta 10 horas y heladas hasta por 2 días.  
- Tapa Flip Straw 2.0: Incluye una abertura más amplia y una pajilla integrada para un acceso rápido a tu bebida.  
- Asa plegable: Fácil de transportar y perfecta para cualquier ocasión.  
- Diseño a prueba de fugas: Seguro y confiable para guardarla en tu bolso o en el portavasos del coche.  
- Fácil limpieza: El pico desmontable asegura una higiene profunda.  
- Capacidad: 710 ml.  
- Dimensiones: 28.4 cm de alto x 10 cm de ancho.  
- Peso: 400 g.  
- Material: Acero inoxidable 18/8, libre de BPA, apta para lavavajillas.  

Con su diseño versátil y rendimiento superior, esta botella es la compañera perfecta para el día a día, ya sea en el gimnasio, la oficina o aventuras al aire libre.","La botella térmica NordPeak GlacierPulse FlipSip de 710 mL está pensada para hidratación diaria con un diseño práctico de tapa tipo flip y pico para sorber. Su formato liviano facilita llevarla al gimnasio, a la oficina o en salidas al aire libre. Color negro, terminación lisa y fácil de limpiar para uso cotidiano.",,RECHAZO,RECHAZO,SÍ,E-NCP,E-NCP,SÍ,,15/05/2026 10:13:25,,,,
SANCJOAQ,Netkel-API,Netkel,101697496,MLA67546937,https://www.mercadolibre.com.ar/p/MLA67546937,BABY_HIGH_CHAIRS,image,ADD,,,,https://drive.google.com/file/d/1QLPmNJB9mqRou44Utv_i4Vm6421TcKB4/view?usp=drivesdk,RECHAZO,RECHAZO,SÍ,E-QR,E-QR,SÍ,,15/05/2026 10:14:08,,,,
SANCJOAQ,Netkel-API,Netkel,101697497,MLA67546937,https://www.mercadolibre.com.ar/p/MLA67546937,BABY_HIGH_CHAIRS,title,UPDATE,,Silla De Comer Convertible Booster Ergonomica Plegable Rosa Rosa,"Silla De Comer Convertible Booster Ergonomica Plegable Rosa Rosa - También en: Gris, Verde",,RECHAZO,RECHAZO,SÍ,E-MUL,E-REL,NO,,15/05/2026 10:14:08,OK,NOT OK,,ext_cecignol
,,,,,,,,,,,,,,,,,,,,,,,,
SANCJOAQ,Netkel-API,Netkel,873309845,MLA67546937,https://www.mercadolibre.com.ar/p/MLA67546937,BABY_HIGH_CHAIRS,image,ADD,,,,https://http2.mlstatic.com/D_NQ_NP_762324-MLA99451657840_112025-F.jpg,RECHAZO,RECHAZO,SÍ,E-IMGI,E-IMGI,SÍ,,15/05/2026 10:14:08,,,,
ZOGRAZIA,Netkel-ABV,Netkel,369137895,MLA67883338,https://www.mercadolibre.com.ar/p/MLA67883338,SNEAKERS,attribute,UPDATE,COLOR,Beige,Turquesa Metálico,,RECHAZO,RECHAZO,SÍ,E-NCP,E-NCP,SÍ,,15/05/2026 10:14:36,,,,
ZOGRAZIA,Netkel-ABV,Netkel,369137896,MLA67883338,https://www.mercadolibre.com.ar/p/MLA67883338,SNEAKERS,attribute,UPDATE,SIZE,39 AR,41 AR,,RECHAZO,RECHAZO,SÍ,E-NCP,E-NCP,SÍ,,15/05/2026 10:14:36,,,,
ZOGRAZIA,Netkel-ABV,Netkel,369137898,MLA67883338,https://www.mercadolibre.com.ar/p/MLA67883338,SNEAKERS,title,UPDATE,,Zapatillas Jaguar Art. #4346 Mujer,Zapatillas Jaguar Art. #4346 Mujer Turquesa Metálico Talle 41 AR,,RECHAZO,RECHAZO,SÍ,E-NCP,E-NCP,SÍ,,15/05/2026 10:14:36,,,,
ZOGRAZIA,Netkel-ABV,Netkel,369137899,MLA67883338,https://www.mercadolibre.com.ar/p/MLA67883338,SNEAKERS,description,UPDATE,,"El calzado se clasifica como una zapatilla de diseño urbano con estructura versátil. El componente exterior está compuesto por una combinación de materiales de poliéster y vinílico, los cuales proporcionan integridad estructural y resistencia mecánica al uso cotidiano. El sistema de ajuste se articula mediante cordones, permitiendo la adaptación precisa del calzado al pie. 

En cuanto a la configuración interna, cuenta con un revestimiento de tejido de poliéster que facilita la gestión del confort durante el uso. La suela está fabricada a partir de materiales sintéticos, seleccionados por sus propiedades físicas para la tracción y durabilidad. El producto presenta un ancho de horma estándar y se encuentra disponible en una escala de talles que abarca del 35 al 40. La coloración es uniforme en blanco, constituyendo el estándar estético y técnico del modelo. Este calzado cumple con los parámetros de diseño para entornos urbanos y de uso casual.","Zapatillas Jaguar modelo C4346 para mujer en color Turquesa Metálico, con diseño liso y calce estándar. Ideales para uso urbano diario por su estilo versátil y cómodo. Disponible en talle 41 AR para un ajuste seguro y confortable.",,RECHAZO,RECHAZO,SÍ,E-NCP,E-NCP,SÍ,,15/05/2026 10:14:36,,,,
IGJEREZ,Netkel-AWB,Netkel,724481610,MLA52666606,https://www.mercadolibre.com.ar/p/MLA52666606,WATERPROOFING_PROTECTORS_AND_SURFACE_TREATMENTS,attribute,UPDATE,COLOR,Transparente,Turquesa Metálico,,RECHAZO,RECHAZO,SÍ,E-NCP,E-NCP,SÍ,No existe la variante de ese color actualmente en catálogo.,15/05/2026 10:14:55,,,,
IGJEREZ,Netkel-AWB,Netkel,724481611,MLA52666606,https://www.mercadolibre.com.ar/p/MLA52666606,WATERPROOFING_PROTECTORS_AND_SURFACE_TREATMENTS,attribute,UPDATE,NET_VOLUME,4 L,"3,7 L",,RECHAZO,RECHAZO,SÍ,E-NCP,E-NCP,SÍ,No existe la variante de ese color actualmente en catálogo.,15/05/2026 10:14:55,,,,
IGJEREZ,Netkel-AWB,Netkel,724481612,MLA52666606,https://www.mercadolibre.com.ar/p/MLA52666606,WATERPROOFING_PROTECTORS_AND_SURFACE_TREATMENTS,title,UPDATE,,Impermeabilizante Transparente Sellador Transparente Lluvia Cero 4 Litros Acabado Brillante,"Impermeabilizante Turquesa Metálico Sellador Lluvia Cero 3,7 Litros Acabado Brillante",,RECHAZO,RECHAZO,SÍ,E-NCP,E-NCP,SÍ,No existe la variante de ese color actualmente en catálogo.,15/05/2026 10:14:55,,,,
SANCJOAQ,Netkel-AOV,Netkel,412651461,MLA21559723,https://www.mercadolibre.com.ar/p/MLA21559723,HARD_DRIVES_AND_SSDS,description,UPDATE,,"Disco Rigido de Notebook WD Blue 500Gb

Fabricados siguiendo los estándares más exigentes de calidad y fiabilidad de WD, los discos duros para ordenadores portátiles WD Blue ofrecen prestaciones ideales para sus necesidades informáticas del día a día.

Especificaciones técnicas:

• Marca: WD  
• Modelo : WD5000LPCX  
• Tipo : Interno para Notebook  
• Capacidad : 500 Gb  
• Interfaz : Sata 3/ 6 Gb/s  
• Cache: 8 Mb buffer  
• Rpm: 5400  
• Formato: 2,5 Pulgadas","Disco Rigido de Notebook WD Blue 500Gb

Fabricados siguiendo los estándares más exigentes de calidad y fiabilidad de WD, los discos duros para ordenadores portátiles WD Blue ofrecen prestaciones ideales para sus necesidades informáticas del día a día.

Especificaciones técnicas:

• Marca: WD  
• Modelo : WD5000LPCX  
• Tipo : Interno para Notebook  
• Capacidad : 500 Gb  
• Interfaz : Sata 3/ 6 Gb/s  
• Cache: 8 Mb buffer  
• Rpm: 5400  
• Formato: 2,5 Pulgadas  
• Color: Gris",,APROBACION,APROBACION,SÍ,,,SÍ,,15/05/2026 10:14:57,,,,
SANCJOAQ,Netkel-AOV,Netkel,412651462,MLA21559723,https://www.mercadolibre.com.ar/p/MLA21559723,HARD_DRIVES_AND_SSDS,main_features,ADD,,,Tipo de almacenamiento: HDD,,APROBACION,APROBACION,SÍ,,,SÍ,,15/05/2026 10:14:57,,,,
SANCJOAQ,Netkel-AOV,Netkel,412651463,MLA21559723,https://www.mercadolibre.com.ar/p/MLA21559723,HARD_DRIVES_AND_SSDS,title,UPDATE,,Disco Duro Interno Toshiba 2.5 500gb Sata Laptop Ps4 Xbox,Disco Duro Interno Toshiba 2.5 500gb Sata Laptop Ps4 Xbox Gris,,APROBACION,APROBACION,SÍ,,,SÍ,,15/05/2026 10:14:57,,,,
DADI,Netkel-BFL,Netkel,134506505,MLA51528523,https://www.mercadolibre.com.ar/p/MLA51528523,WATERPROOFING_PROTECTORS_AND_SURFACE_TREATMENTS,attribute,UPDATE,COLOR,Blanco,Gris,,RECHAZO,RECHAZO,SÍ,E-DUPA,E-NCP,NO,,15/05/2026 10:15:16,OK,NOT OK,,ext_mamincz
DADI,Netkel-BFL,Netkel,134506506,MLA51528523,https://www.mercadolibre.com.ar/p/MLA51528523,WATERPROOFING_PROTECTORS_AND_SURFACE_TREATMENTS,image,ADD,,,,https://http2.mlstatic.com/D_NQ_NP_970887-MLA86400315114_062025-F.jpg,RECHAZO,RECHAZO,SÍ,E-DUPA,E-NCP,NO,,15/05/2026 10:15:17,OK,NOT OK,,ext_mamincz
DADI,Netkel-BFL,Netkel,134506507,MLA51528523,https://www.mercadolibre.com.ar/p/MLA51528523,WATERPROOFING_PROTECTORS_AND_SURFACE_TREATMENTS,image,ADD,,,,https://http2.mlstatic.com/D_NQ_NP_877679-MLA86719486979_062025-F.jpg,RECHAZO,RECHAZO,SÍ,E-DUPA,E-NCP,NO,,15/05/2026 10:15:17,OK,NOT OK,,ext_mamincz
DADI,Netkel-BFL,Netkel,134506508,MLA51528523,https://www.mercadolibre.com.ar/p/MLA51528523,WATERPROOFING_PROTECTORS_AND_SURFACE_TREATMENTS,title,UPDATE,,Kit Impermeabilizante Caucho Goma Para Techos Terrazas X 20kg Color Blanco + Sellador Elastomerico X 5lt Para Fisuras Y Microfisuras,Kit Impermeabilizante Caucho Goma Para Techos Terrazas X 20kg Color Gris + Sellador Elastomerico X 5lt Para Fisuras Y Microfisuras,,RECHAZO,RECHAZO,SÍ,E-DUPA,E-NCP,NO,,15/05/2026 10:15:17,OK,NOT OK,,ext_mamincz
ESGUADAL,Netkel-BIH,Netkel,261718381,MLA60223592,https://www.mercadolibre.com.ar/p/MLA60223592,SNEAKERS,attribute,UPDATE,COLOR,Gris,Verde,,RECHAZO,RECHAZO,SÍ,E-DUPA,E-NCP,NO,,15/05/2026 10:15:47,OK,NOT OK,ID 60723779,ext_vitofalo
